Movie Name,Rating,Votes,Duration (Min),Genre
The Wild Robot,8.2,180000,102,Animation
Flow,7.9,84000,85,Animation
Mufasa: The Lion King,6.6,70000,118,Animation
Moana 2,6.6,109000,100,Animation
Paddington in Peru,6.7,26000,106,Animation
Transformers One,7.6,54000,104,Animation
Inside Out 2,7.5,222000,96,Animation
Despicable Me 4,6.2,68000,94,Animation
IF,6.4,59000,104,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,Animation
Kung Fu Panda 4,6.3,70000,94,Animation
Attack on Titan the Movie: The Last Attack,9.2,17000,145,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5400,91,Animation
Memoir of a Snail,7.8,19000,95,Animation
Harold and the Purple Crayon,5.7,8800,90,Animation
The Garfield Movie,5.7,25000,101,Animation
Solo Leveling: ReAwakening,8.8,14000,121,Animation
Spellbound,5.5,7900,109,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,Animation
Spermageddon,5.6,1000,80,Animation
Piece by Piece,6.9,6000,93,Animation
Look Back,7.8,16000,58,Animation
Dan Da Dan: First Encounter,8.2,2900,83,Animation
Watchmen: Chapter I,7.1,7000,83,Animation
Orion and the Dark,6.3,18000,93,Animation
Crayon Shin-chan: Our Dinosaur Diary,6.6,602,106,Animation
Watchmen: Chapter II,7.1,3400,90,Animation
The Remarkable Life of Ibelin,8.2,13000,103,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2,8800,93,Animation
I Am What I Am 2,7.5,361,134,Animation
Dragonkeeper,5.7,1800,98,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.0,4800,94,Animation
My Hero Academia: You're Next,6.9,2600,110,Animation
The Most Precious of Cargoes,7.1,1500,81,Animation
Haikyu!! The Dumpster Battle,7.7,6500,85,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,Animation
The Colors Within,7.1,1100,101,Animation
Overlord: The Sacred Kingdom,6.9,1400,135,Animation
That Christmas,6.8,17000,91,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104,Animation
Lesbian Space Princess,7.0,180,87,Animation
Hitpig,5.1,1100,86,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,94,Animation
Ultraman: Rising,6.9,6600,117,Animation
Night of the Zoopocalypse,6.0,904,91,Animation
White Snake: Afloat,6.9,559,133,Animation
Given 3: To the Sea,7.6,127,80,Animation
Boys Go to Jupiter,6.8,112,90,Animation
Frida,7.5,1500,87,Animation
Blue Lock: Episode Nagi,6.6,2600,91,Animation
